	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)
	more_trade1	more_trade2	more_trade4	more_trade5	d_more_trade1	d_more_trade2	d_more_trade4	d_more_trade5	r_more_trade1	r_more_trade2	r_more_trade4	r_more_trade5	more_imm1	more_imm2	more_imm4	more_imm5	d_more_imm1	d_more_imm2	d_more_imm4	d_more_imm5	r_more_imm1	r_more_imm2	r_more_imm4	r_more_imm5	china_opp1	china_opp2	china_opp4	china_opp5	d_china_opp1	d_china_opp2	d_china_opp4	d_china_opp5	r_china_opp1	r_china_opp2	r_china_opp4	r_china_opp5	gov_health1	gov_health2	gov_health4	gov_health5	d_gov_health1	d_gov_health2	d_gov_health4	d_gov_health5	r_gov_health1	r_gov_health2	r_gov_health4	r_gov_health5
VARIABLES	more_trade	more_trade	more_trade	more_trade	d_more_trade	d_more_trade	d_more_trade	d_more_trade	r_more_trade	r_more_trade	r_more_trade	r_more_trade	more_imm	more_imm	more_imm	more_imm	d_more_imm	d_more_imm	d_more_imm	d_more_imm	r_more_imm	r_more_imm	r_more_imm	r_more_imm	china_opp	china_opp	china_opp	china_opp	d_china_opp	d_china_opp	d_china_opp	d_china_opp	r_china_opp	r_china_opp	r_china_opp	r_china_opp	gov_health	gov_health	gov_health	gov_health	d_gov_health	d_gov_health	d_gov_health	d_gov_health	r_gov_health	r_gov_health	r_gov_health	r_gov_health
																																																
3.educ3		-0.0101		-0.0899		0.0680		-0.0180		0.0917		0.00133		0.492***		0.451**		0.0570		0.0545		-0.220*		-0.174		0.226**		0.297**		-0.142		-0.213*		0.165		0.242		0.371***		0.418**		0.159		0.200		-0.293***		-0.299**
		(0.110)		(0.125)		(0.102)		(0.115)		(0.116)		(0.133)		(0.155)		(0.177)		(0.112)		(0.122)		(0.113)		(0.126)		(0.114)		(0.129)		(0.110)		(0.126)		(0.130)		(0.150)		(0.143)		(0.165)		(0.114)		(0.125)		(0.107)		(0.119)
4.educ3		0.526***		0.464***		-0.159*		-0.223**		0.0607		0.0717		1.225***		1.222***		0.0150		-0.0138		-0.569***		-0.493***		1.028***		1.134***		-0.230**		-0.344***		0.208*		0.249*		0.930***		0.857***		0.476***		0.501***		-0.424***		-0.411***
		(0.0956)		(0.109)		(0.0883)		(0.100)		(0.101)		(0.116)		(0.134)		(0.153)		(0.0973)		(0.106)		(0.0976)		(0.110)		(0.0992)		(0.113)		(0.0956)		(0.110)		(0.113)		(0.131)		(0.124)		(0.143)		(0.0989)		(0.109)		(0.0930)		(0.104)
1.wave	-0.312***	-0.493***	-0.332***	-0.586***	0.716***	0.846***	0.797***	0.934***	-1.327***	-1.276***	-1.398***	-1.351***	0.337***	0.344***	0.383***	0.382**	0.273***	0.294***	0.293***	0.314***	-0.808***	-0.740***	-0.798***	-0.615***	-0.0355	-0.0198	-0.0116	0.0711	0.317***	0.363***	0.333***	0.352***	-1.096***	-0.987***	-1.147***	-0.980***	-0.506***	-0.521***	-0.496***	-0.535***	-0.586***	-0.392***	-0.593***	-0.354***	-0.271***	-0.296***	-0.285***	-0.305***
	(0.0607)	(0.0908)	(0.0691)	(0.106)	(0.0550)	(0.0839)	(0.0625)	(0.0971)	(0.0625)	(0.0956)	(0.0720)	(0.112)	(0.0858)	(0.127)	(0.0983)	(0.149)	(0.0604)	(0.0926)	(0.0659)	(0.103)	(0.0614)	(0.0928)	(0.0695)	(0.107)	(0.0639)	(0.0945)	(0.0732)	(0.110)	(0.0595)	(0.0909)	(0.0685)	(0.107)	(0.0703)	(0.108)	(0.0815)	(0.128)	(0.0786)	(0.118)	(0.0906)	(0.139)	(0.0617)	(0.0940)	(0.0680)	(0.106)	(0.0583)	(0.0887)	(0.0650)	(0.101)
2b.educ3#0b.wave		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
