	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)	(64)	(65)	(66)	(67)	(68)	(69)	(70)	(71)	(72)	(73)	(74)	(75)	(76)	(77)	(78)	(79)	(80)
	critwarmbv1	critwarmbv2	critwarmbv3	critwarmbv4	critwarmbv5	critwarmbv6	critwarmbv7	critwarmbv8	critwarmbv9	critwarmbv10	critwarmbv12	critwarmbv22	critwarmbv32	critwarmbv42	critwarmbv52	critwarmbv62	critwarmbv72	critwarmbv82	critwarmbv92	critwarmbv102	critoverbv1	critoverbv2	critoverbv3	critoverbv4	critoverbv5	critoverbv6	critoverbv7	critoverbv8	critoverbv9	critoverbv10	critoverbv12	critoverbv22	critoverbv32	critoverbv42	critoverbv52	critoverbv62	critoverbv72	critoverbv82	critoverbv92	critoverbv102	critxtlogitbv1	critxtlogitbv2	critxtlogitbv3	critxtlogitbv4	critxtlogitbv5	critxtlogitbv6	critxtlogitbv7	critxtlogitbv8	critxtlogitbv9	critxtlogitbv10	critxtlogitbv12	critxtlogitbv22	critxtlogitbv32	critxtlogitbv42	critxtlogitbv52	critxtlogitbv62	critxtlogitbv72	critxtlogitbv82	critxtlogitbv92	critxtlogitbv102	critlogitbv1	critlogitbv2	critlogitbv3	critlogitbv4	critlogitbv5	critlogitbv6	critlogitbv7	critlogitbv8	critlogitbv9	critlogitbv10	critlogitbv12	critlogitbv22	critlogitbv32	critlogitbv42	critlogitbv52	critlogitbv62	critlogitbv72	critlogitbv82	critlogitbv92	critlogitbv102
VARIABLES	rep_warmer	rep_warmer	rep_warmer	rep_warmer	rep_warmer	rep_warmer	rep_warmer	rep_warmer	rep_warmer	rep_warmer	rep_warmer	rep_warmer	rep_warmer	rep_warmer	rep_warmer	rep_warmer	rep_warmer	rep_warmer	rep_warmer	rep_warmer	rep_over_dem	rep_over_dem	rep_over_dem	rep_over_dem	rep_over_dem	rep_over_dem	rep_over_dem	rep_over_dem	rep_over_dem	rep_over_dem	rep_over_dem	rep_over_dem	rep_over_dem	rep_over_dem	rep_over_dem	rep_over_dem	rep_over_dem	rep_over_dem	rep_over_dem	rep_over_dem	rep_over_dem	rep_over_dem	rep_over_dem	rep_over_dem	rep_over_dem	rep_over_dem	rep_over_dem	rep_over_dem	rep_over_dem	rep_over_dem	rep_over_dem	rep_over_dem	rep_over_dem	rep_over_dem	rep_over_dem	rep_over_dem	rep_over_dem	rep_over_dem	rep_over_dem	rep_over_dem	rep_over_dem	rep_over_dem	rep_over_dem	rep_over_dem	rep_over_dem	rep_over_dem	rep_over_dem	rep_over_dem	rep_over_dem	rep_over_dem	rep_over_dem	rep_over_dem	rep_over_dem	rep_over_dem	rep_over_dem	rep_over_dem	rep_over_dem	rep_over_dem	rep_over_dem	rep_over_dem
																																																																																
party3_dem	-1.333***										-1.395***										-0.0595***										-0.0598***										-0.423										-0.490										-2.498***										-2.501***									
	(0.203)										(0.202)										(0.0209)										(0.0210)										(0.293)										(0.311)										(0.102)										(0.102)									
income		-0.0614										-0.0465										-0.00295										-0.00292										-0.0481										-0.0485										0.00104										0.00114								
		(0.0438)										(0.0439)										(0.00430)										(0.00432)										(0.0872)										(0.0872)										(0.0150)										(0.0150)								
look_work			-0.559										-0.714										0.0263										0.0260										0.693										0.693										-0.675**										-0.683**							
			(0.473)										(0.473)										(0.0463)										(0.0465)										(1.225)										(1.254)										(0.306)										(0.307)							
finances_better				-0.425***										-0.388***										-0.0141										-0.0141										-0.402										-0.408										-0.997***										-0.996***						
				(0.116)										(0.116)										(0.0108)										(0.0108)										(0.296)										(0.298)										(0.0727)										(0.0728)						
trade_help_u					-0.446***										-0.428***										-0.0286***										-0.0285***										-0.593**										-0.622**										-0.585***										-0.584***					
					(0.103)										(0.102)										(0.00947)										(0.00949)										(0.239)										(0.244)										(0.0636)										(0.0636)					
more_trade						-0.160**										-0.214***										-0.0109*										-0.0113*										-0.257*										-0.260*										-0.255***										-0.260***				
						(0.0683)										(0.0692)										(0.00614)										(0.00623)										(0.154)										(0.154)										(0.0386)										(0.0391)				
more_imm							-0.396***										-0.363***										-0.0236***										-0.0244***										-0.403***										-0.472***										-0.607***										-0.611***			
							(0.0673)										(0.0686)										(0.00622)										(0.00635)										(0.153)										(0.173)										(0.0366)										(0.0370)			
china_opp								-0.0760										-0.0774										-0.00679										-0.00678										-0.191										-0.198										-0.322***										-0.322***		
								(0.0753)										(0.0749)										(0.00685)										(0.00685)										(0.181)										(0.184)										(0.0395)										(0.0395)		
sdo									0.169**										0.188**										0.0151**										0.0152**										0.304*										0.304*										0.520***										0.521***	
									(0.0758)										(0.0757)										(0.00662)										(0.00664)										(0.157)										(0.157)										(0.0394)										(0.0393)	
economy_better										-0.993***										-0.969***										-0.0544***										-0.0546***										-0.634***										-0.644***										-1.521***										-1.521***
