	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)
	wbase	wbasem	wmat	wmatm	woth	wothm	wprej	wprejm	bbase	bbasem	bmat	bmatm	both	bothm	bprej	bprejm	obase	obasem	omat	omatm	ooth	oothm	oprej	oprejm
VARIABLES	t_warmer	y1	t_warmer	y1	t_warmer	y1	t_warmer	y1	t_best	y1	t_best	y1	t_best	y1	t_best	y1	t_over_c	y1	t_over_c	y1	t_over_c	y1	t_over_c	y1
																								
white	3.229		2.036		1.867		2.757		1.270		1.107		1.014		1.305		1.628		1.785		1.812		1.991	
	(0.225)		(0.177)		(0.163)		(0.216)		(0.106)		(0.126)		(0.139)		(0.154)		(0.117)		(0.165)		(0.189)		(0.187)	
female	-1.437		-1.204		-0.946		-0.696		-0.398		-0.384		-0.303		-0.130		-0.526		-0.802		-0.722		-0.316	
	(0.204)		(0.159)		(0.148)		(0.175)		(0.0839)		(0.104)		(0.117)		(0.113)		(0.0939)		(0.139)		(0.164)		(0.143)	
age_cohort	-0.203		-0.162		-0.252		-0.349		0.106		0.135		0.0316		0.0371		0.0208		0.0149		-0.0862		-0.121	
	(0.0611)		(0.0500)		(0.0478)		(0.0528)		(0.0252)		(0.0327)		(0.0382)		(0.0340)		(0.0287)		(0.0432)		(0.0534)		(0.0432)	
no_ba	2.261	2.261	0.845	0.845	0.365	0.365	0.286	0.286	0.766	0.141	0.442	0.0557	0.206	0.0210	-0.0208	-0.00256	1.009	0.195	0.676	0.0646	0.303	0.0212	0.0381	0.00379
	(0.220)	(0.220)	(0.174)	(0.174)	(0.162)	(0.162)	(0.193)	(0.193)	(0.0931)	(0.0164)	(0.117)	(0.0146)	(0.133)	(0.0135)	(0.126)	(0.0155)	(0.103)	(0.0185)	(0.151)	(0.0142)	(0.180)	(0.0126)	(0.157)	(0.0156)
income	0.108		0.0709		0.0750		0.0737		0.0668		0.0720		0.0734		0.0729		0.0595		0.0563		0.0546		0.0757	
	(0.0256)		(0.0202)		(0.0186)		(0.0218)		(0.0108)		(0.0134)		(0.0149)		(0.0140)		(0.0120)		(0.0175)		(0.0201)		(0.0177)	
religiosity	0.400		0.177		0.153		0.119		0.150		0.0970		0.0993		0.0580		0.189		0.155		0.158		0.0855	
	(0.0376)		(0.0296)		(0.0274)		(0.0337)		(0.0154)		(0.0189)		(0.0212)		(0.0208)		(0.0179)		(0.0260)		(0.0310)		(0.0274)	
look_work			-0.0140		-0.0420						0.0486		-0.0218						0.0563		0.0419			
			(0.313)		(0.287)						(0.217)		(0.241)						(0.291)		(0.335)			
concern_fut_exp			0.304		0.113						0.236		0.0588						0.269		0.0536			
			(0.108)		(0.103)						(0.0730)		(0.0831)						(0.0967)		(0.117)			
finances_better			-0.0550		-0.00351						0.00404		0.0180						0.0594		0.0967			
			(0.0909)		(0.0837)						(0.0590)		(0.0652)						(0.0813)		(0.0940)			
tax_for_safety_net			-1.730		-1.129						-0.820		-0.610						-1.312		-1.035			
			(0.0847)		(0.0821)						(0.0590)		(0.0677)						(0.0849)		(0.0999)			
china_opp			-0.363		0.114						-0.300		-0.00944						-0.276		0.102			
			(0.135)		(0.126)						(0.0879)		(0.0991)						(0.114)		(0.136)			
support_trade			-0.796		-0.610						-0.355		-0.277						-0.504		-0.415			
			(0.0797)		(0.0741)						(0.0513)		(0.0580)						(0.0685)		(0.0806)			
economy_better			-1.764		-1.258						-0.747		-0.520						-1.147		-0.918			
			(0.0838)		(0.0802)						(0.0535)		(0.0592)						(0.0758)		(0.0871)			
support_isol					0.324								-0.130								0.0678			
					(0.0936)								(0.0738)								(0.104)			
support_immig					-1.634								-1.107								-1.340			
					(0.0790)								(0.0668)								(0.0921)			
terror_threat					0.141								0.388								0.400			
					(0.0969)								(0.0845)								(0.113)			
disc_men							0.431								0.201								0.299	
							(0.0765)								(0.0515)								(0.0662)	
disc_christ							0.495								0.273								0.392	
							(0.0653)								(0.0418)								(0.0535)	
disc_white							0.687								0.333								0.483	
							(0.0641)								(0.0410)								(0.0520)	
am_life_threat							1.226								0.778								0.936	
							(0.0983)								(0.0740)								(0.0916)	
sdo							0.460								0.204								0.288	
							(0.0559)								(0.0359)								(0.0458)	
outgroup_prej							0.399								0.257								0.293	
							(0.0798)								(0.0527)								(0.0693)	
nat_super							0.0515								0.301								0.208	
							(0.101)								(0.0674)								(0.0855)	
Constant	6.394		21.99		21.65		4.775		-3.334		2.411		3.554		-6.570		-2.924		6.278		7.207		-5.932	
	(0.537)		(0.753)		(0.846)		(0.635)		(0.237)		(0.494)		(0.693)		(0.470)		(0.263)		(0.702)		(0.997)		(0.584)	
																								
Observations	2,912	2,912	2,867	2,867	2,865	2,865	2,632	2,632	3,203	3,203	3,145	3,145	3,143	3,143	2,887	2,887	2,429	2,429	2,393	2,393	2,391	2,391	2,204	2,204
R-squared	0.129		0.491		0.572		0.463																	
r2_p	.	.	.	.	.	.	.	.	0.107	.	0.355	.	0.466	.	0.380	.	0.142	.	0.534	.	0.647	.	0.523	.
chi2	.	.	.	.	.	.	.	.	420.5	.	1366	.	1794	.	1355	.	458.7	.	1695	.	2054	.	1539	.
df_m	6	.	13	.	16	.	13	.	6	.	13	.	16	.	13	.	6	.	13	.	16	.	13	.
Standard errors in parentheses																								
