	(1)	(2)	(3)	(4)	(5)	(6)
	mutzwarm	mutzwarm_v2	mutzoverlogit	mutzoverxtlogit50	mutzoverxtlogit150	mutzoverlp
VARIABLES	rep_warmer	rep_warmer	rep_over_dem	rep_over_dem	rep_over_dem	rep_over_dem
						
party3_dem	-0.694	-0.644	-1.619	3.048	8.127	-0.0127
	(0.238)	(0.237)	(0.151)	(3,501)	(1.062e+09)	(0.0281)
income	0.000351	0.00267	-0.0477	-4.100	-15.63	-0.00475
	(0.0476)	(0.0475)	(0.0366)	(1,559)	(5.154e+08)	(0.00539)
look_work	-0.0319	-0.00857	-0.621	-12.80	-43.43	-0.00294
	(0.716)	(0.714)	(0.741)	(2.572e+09)	(0)	(0.0780)
finances_better	-0.0344	-0.0124	-0.0376	-3.077	-9.763	0.0198
	(0.168)	(0.168)	(0.174)	(11,625)	(0)	(0.0178)
trade_help_u	-0.305	-0.293	0.119	-3.233	-14.03	-0.0317
	(0.164)	(0.163)	(0.146)	(7,788)	(1.176e+09)	(0.0172)
more_trade	-0.0395	-0.0199	-0.0172	-1.731	-10.01	-0.00203
	(0.125)	(0.125)	(0.110)	(5,749)	(7.195e+08)	(0.0133)
more_imm	-0.168	-0.157	0.0935	-3.781	-13.36	-0.0118
	(0.114)	(0.113)	(0.0979)	(2,149)	(4.045e+08)	(0.0125)
china_opp	0.185	0.189	0.118	0.773	4.520	0.0148
	(0.115)	(0.115)	(0.102)	(5,073)	(2.960e+08)	(0.0119)
add_more_trade	0.121	0.128	0.521	0.618	2.629	0.0150
	(0.105)	(0.105)	(0.130)	(2,922)	(6.530e+08)	(0.0107)
add_more_imm	0.198	0.197	0.318	2.409	8.623	0.0113
	(0.0993)	(0.0989)	(0.102)	(3,909)	(2.666e+08)	(0.0115)
add_china_opp	0.394	0.401	0.351	2.863	7.828	0.0221
	(0.102)	(0.101)	(0.101)	(1,197)	(7.693e+08)	(0.0105)
adr_more_trade	-0.212	-0.214	-0.454	-4.424	-18.11	-0.0186
	(0.0933)	(0.0930)	(0.124)	(0)	(0)	(0.00955)
adr_more_imm	-0.0166	0.00244	-0.414	0.262	6.540	-0.0116
	(0.0856)	(0.0853)	(0.0960)	(9,246)	(3.724e+07)	(0.00892)
adr_china_opp	-0.209	-0.212	-0.327	-6.568	-18.99	-0.0122
	(0.0878)	(0.0876)	(0.0898)	(2,489)	(1.044e+09)	(0.00915)
sdo	0.182	0.286	0.253	4.613	15.97	0.0100
	(0.0715)	(0.0848)	(0.0814)	(3,982)	(3.300e+08)	(0.00716)
economy_better	-0.585	-0.556	-0.797	0.923	5.939	-0.0153
	(0.155)	(0.154)	(0.147)	(4,982)	(0)	(0.0163)
party3_dem_xw1	0.273	0.350	-0.516	-0.249	1.580	0.00967
	(0.192)	(0.193)	(0.271)	(1,017)	(8.891e+08)	(0.0219)
income_xw1	-0.0447	-0.0463	-0.0399	-0.913	-2.039	-0.00378
	(0.0320)	(0.0319)	(0.0565)	(829.6)	(6.131e+07)	(0.00323)
look_work_xw1	0.539	0.620	-2.232	16.82	47.45	-0.0902
	(0.814)	(0.812)	(1.227)	(0)	(0)	(0.0906)
finances_better_xw1	-0.0968	-0.102	0.184	-1.568	-4.778	0.0248
	(0.191)	(0.190)	(0.314)	(7,295)	(0)	(0.0203)
trade_help_u_xw1	-0.253	-0.262	-0.326	-6.343	-15.10	-0.0309
	(0.199)	(0.198)	(0.207)	(2,711)	(0)	(0.0210)
more_trade_xw1	0.0397	0.0661	-0.262	2.479	2.359	0.00412
	(0.142)	(0.142)	(0.190)	(0)	(0)	(0.0148)
more_imm_xw1	-0.228	-0.192	0.122	-0.867	-4.719	-0.0115
	(0.123)	(0.123)	(0.165)	(11,764)	(1.349e+09)	(0.0136)
china_opp_xw1	-0.00588	-0.0240	-0.0681	-3.138	-7.273	0.00340
	(0.131)	(0.131)	(0.168)	(2,714)	(7.793e+08)	(0.0133)
add_more_trade_xw1	-0.104	-0.104	0.162	2.161	7.009	-0.00428
	(0.142)	(0.142)	(0.140)	(6,440)	(1.890e+09)	(0.0143)
add_more_imm_xw1	-0.0909	-0.0868	0.0531	-1.666	-4.609	-0.000955
	(0.126)	(0.126)	(0.174)	(10,393)	(1.139e+09)	(0.0142)
