	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)
	wbase	wbasem	wecon	weconm	wthreat	wthreatm	bbase	bbasem	becon	beconm	bthreat	bthreatm	obase	obasem	oecon	oeconm	othreat	othreatm
VARIABLES	t_warmer	y1	t_warmer	y1	t_warmer	y1	t_best	y1	t_best	y1	t_best	y1	t_over_c	y1	t_over_c	y1	t_over_c	y1
																		
no_ba	2.847	2.847	2.026	2.026	0.133	0.133	0.830	0.177	0.757	0.130	-0.123	-0.0142	1.125	0.242	1.029	0.144	-0.168	-0.0126
	(0.261)	(0.261)	(0.223)	(0.223)	(0.187)	(0.187)	(0.103)	(0.0208)	(0.118)	(0.0196)	(0.150)	(0.0173)	(0.116)	(0.0222)	(0.147)	(0.0195)	(0.206)	(0.0155)
o.white	-		-		-		-		-		-		-		-		-	
																		
female	-1.465		-1.199		-0.465		-0.416		-0.370		-0.113		-0.572		-0.649		-0.243	
	(0.246)		(0.208)		(0.170)		(0.0942)		(0.107)		(0.133)		(0.108)		(0.136)		(0.189)	
age_cohort	-0.217		-0.118		-0.296		0.0770		0.124		0.0397		-0.0280		-0.0226		-0.145	
	(0.0728)		(0.0650)		(0.0508)		(0.0281)		(0.0336)		(0.0404)		(0.0330)		(0.0438)		(0.0587)	
religiosity	0.519		0.315		0.163		0.166		0.129		0.101		0.222		0.214		0.162	
	(0.0455)		(0.0388)		(0.0323)		(0.0174)		(0.0196)		(0.0245)		(0.0209)		(0.0266)		(0.0366)	
income	0.0734		0.0265		0.0555		0.0479		0.0402		0.0669		0.0316		0.00927		0.0568	
	(0.0316)		(0.0271)		(0.0216)		(0.0123)		(0.0141)		(0.0167)		(0.0141)		(0.0180)		(0.0236)	
disc_high_stat					1.020						0.541						0.946	
					(0.0865)						(0.0732)						(0.112)	
am_life_threat					0.803						0.602						0.709	
					(0.109)						(0.0927)						(0.128)	
sdo					0.321						0.170						0.270	
					(0.0574)						(0.0431)						(0.0615)	
outgroup_prej					0.0355						0.122						0.119	
					(0.0895)						(0.0685)						(0.0994)	
support_isol					0.335						-0.152						0.110	
					(0.110)						(0.0850)						(0.121)	
china_opp					0.303						0.0176						0.225	
					(0.151)						(0.115)						(0.161)	
support_immig					-1.735						-1.082						-1.353	
					(0.101)						(0.0799)						(0.115)	
support_trade					-0.460						-0.191						-0.297	
					(0.0850)						(0.0653)						(0.0909)	
look_work			-0.401						0.0172						-0.0324			
			(0.473)						(0.251)						(0.335)			
concern_fut_exp			0.748						0.313						0.378			
			(0.146)						(0.0775)						(0.0977)			
finances_better			-1.136						-0.450						-0.657			
			(0.108)						(0.0563)						(0.0750)			
tax_for_safety_net			-2.463						-0.921						-1.417			
			(0.101)						(0.0592)						(0.0833)			
Constant	9.256		19.33		13.60		-1.837		1.399		0.146		-0.931		4.865		1.399	
	(0.662)		(0.912)		(0.892)		(0.257)		(0.471)		(0.704)		(0.291)		(0.647)		(1.007)	
																		
Observations	1,986	1,986	1,976	1,976	1,944	1,944	2,175	2,175	2,160	2,160	2,124	2,124	1,649	1,649	1,638	1,638	1,613	1,613
R-squared	0.120		0.386		0.606													
r2_p	.	.	.	.	.	.	0.0680	.	0.221	.	0.450	.	0.105	.	0.374	.	0.643	.
chi2	.	.	.	.	.	.	195.4	.	631.1	.	1266	.	239.1	.	847.7	.	1436	.
df_m	5	.	9	.	13	.	5	.	9	.	13	.	5	.	9	.	13	.
Standard errors in parentheses																		
