	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)
	wbase	wbasem	wecon	weconm	wthreat	wthreatm	bbase	bbasem	becon	beconm	bthreat	bthreatm	obase	obasem	oecon	oeconm	othreat	othreatm
VARIABLES	t_warmer	y1	t_warmer	y1	t_warmer	y1	t_best	y1	t_best	y1	t_best	y1	t_over_c	y1	t_over_c	y1	t_over_c	y1
																		
party3_dem	-4.144		-3.397		-2.419		-1.661		-1.467		-1.131		-2.406		-2.099		-1.921	
	(0.0948)		(0.102)		(0.0977)		(0.0675)		(0.0730)		(0.0818)		(0.0998)		(0.107)		(0.138)	
no_ba	1.637	1.637	1.343	1.343	0.286	0.286	0.654	0.0868	0.607	0.0761	0.00211	0.000206	1.181	0.0969	1.071	0.0781	-0.0991	-0.00467
	(0.188)	(0.188)	(0.180)	(0.180)	(0.163)	(0.163)	(0.130)	(0.0170)	(0.138)	(0.0170)	(0.162)	(0.0159)	(0.193)	(0.0161)	(0.211)	(0.0154)	(0.269)	(0.0127)
o.white	-		-		-		-		-		-		-		-		-	
																		
female	-0.714		-0.773		-0.385		-0.256		-0.257		-0.0565		-0.455		-0.554		-0.237	
	(0.176)		(0.167)		(0.148)		(0.120)		(0.126)		(0.145)		(0.174)		(0.189)		(0.245)	
age_cohort	-0.193		-0.138		-0.244		0.118		0.152		0.0745		-0.0769		-0.0345		-0.159	
	(0.0519)		(0.0521)		(0.0443)		(0.0358)		(0.0394)		(0.0440)		(0.0532)		(0.0602)		(0.0743)	
religiosity	0.120		0.0962		0.0547		0.0624		0.0547		0.0485		0.0948		0.104		0.0912	
	(0.0337)		(0.0318)		(0.0285)		(0.0221)		(0.0229)		(0.0270)		(0.0332)		(0.0358)		(0.0464)	
income	-0.0292		-0.0198		0.00420		0.0200		0.0233		0.0351		-0.00382		-0.00331		0.00867	
	(0.0227)		(0.0218)		(0.0189)		(0.0154)		(0.0163)		(0.0181)		(0.0224)		(0.0245)		(0.0296)	
disc_high_stat					0.653						0.366						0.616	
					(0.0768)						(0.0795)						(0.136)	
am_life_threat					0.599						0.562						0.750	
					(0.0950)						(0.101)						(0.164)	
sdo					0.203						0.137						0.288	
					(0.0502)						(0.0470)						(0.0811)	
outgroup_prej					0.0407						0.151						0.219	
					(0.0780)						(0.0730)						(0.116)	
support_isol					0.432						-0.0845						0.384	
					(0.0957)						(0.0919)						(0.155)	
china_opp					0.340						0.0677						0.316	
					(0.132)						(0.123)						(0.203)	
support_immig					-1.082						-0.917						-1.213	
					(0.0917)						(0.0867)						(0.143)	
support_trade					-0.393						-0.170						-0.342	
					(0.0741)						(0.0705)						(0.115)	
look_work			-0.154						0.188						-0.00184			
			(0.378)						(0.295)						(0.450)			
concern_fut_exp			0.600						0.321						0.459			
			(0.117)						(0.0889)						(0.135)			
finances_better			-0.720						-0.344						-0.543			
			(0.0871)						(0.0653)						(0.0996)			
tax_for_safety_net			-1.070						-0.443						-0.792			
			(0.0914)						(0.0699)						(0.110)			
Constant	19.95		22.29		17.34		1.698		2.621		1.746		5.008		7.150		4.239	
	(0.532)		(0.736)		(0.791)		(0.348)		(0.541)		(0.769)		(0.530)		(0.888)		(1.287)	
																		
Observations	1,986	1,986	1,976	1,976	1,944	1,944	2,175	2,175	2,160	2,160	2,124	2,124	1,649	1,649	1,638	1,638	1,613	1,613
R-squared	0.552		0.607		0.701													
r2_p	.	.	.	.	.	.	0.362	.	0.397	.	0.526	.	0.579	.	0.632	.	0.769	.
chi2	.	.	.	.	.	.	1040	.	1136	.	1479	.	1320	.	1432	.	1716	.
df_m	6	.	10	.	14	.	6	.	10	.	14	.	6	.	10	.	14	.
Standard errors in parentheses																		
