	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)
	wbase	wbasem	wecon	weconm	wthreat	wthreatm	bbase	bbasem	becon	beconm	bthreat	bthreatm	obase	obasem	oecon	oeconm	othreat	othreatm
VARIABLES	t_warmer	y1	t_warmer	y1	t_warmer	y1	t_best	y1	t_best	y1	t_best	y1	t_over_c	y1	t_over_c	y1	t_over_c	y1
																		
party3_dem	-4.115		-3.396		-2.617		-1.692		-1.479		-1.197		-2.338		-2.033		-1.934	
	(0.0858)		(0.0923)		(0.0931)		(0.0594)		(0.0638)		(0.0743)		(0.0825)		(0.0885)		(0.117)	
no_ba	1.355	1.355	1.063	1.063	0.168	0.168	0.636	0.0729	0.597	0.0643	0.0762	0.00659	1.072	0.0841	1.015	0.0707	0.129	0.00610
	(0.165)	(0.165)	(0.159)	(0.159)	(0.156)	(0.156)	(0.117)	(0.0132)	(0.124)	(0.0132)	(0.149)	(0.0129)	(0.164)	(0.0130)	(0.181)	(0.0126)	(0.237)	(0.0112)
white	1.223	1.223	1.158	1.158	1.507	1.507	0.668	0.0766	0.635	0.0683	0.602	0.0520	1.235	0.0969	1.254	0.0874	1.354	0.0638
	(0.173)	(0.173)	(0.165)	(0.165)	(0.172)	(0.172)	(0.128)	(0.0145)	(0.134)	(0.0143)	(0.178)	(0.0153)	(0.173)	(0.0137)	(0.182)	(0.0125)	(0.251)	(0.0115)
female	-0.734		-0.747		-0.513		-0.220		-0.196		-0.0423		-0.413		-0.469		-0.357	
	(0.153)		(0.147)		(0.139)		(0.107)		(0.112)		(0.133)		(0.147)		(0.159)		(0.208)	
age_cohort	-0.211		-0.159		-0.273		0.139		0.174		0.0629		-0.0123		0.0185		-0.131	
	(0.0456)		(0.0457)		(0.0418)		(0.0320)		(0.0352)		(0.0405)		(0.0451)		(0.0507)		(0.0646)	
religiosity	0.0758		0.0691		0.0237		0.0492		0.0457		0.0410		0.0666		0.0755		0.0566	
	(0.0289)		(0.0275)		(0.0266)		(0.0195)		(0.0203)		(0.0245)		(0.0279)		(0.0302)		(0.0392)	
income	0.000985		0.000448		0.0237		0.0396		0.0381		0.0496		0.0270		0.0220		0.0459	
	(0.0193)		(0.0186)		(0.0176)		(0.0134)		(0.0143)		(0.0165)		(0.0185)		(0.0201)		(0.0250)	
disc_high_stat					0.689						0.407						0.620	
					(0.0709)						(0.0715)						(0.112)	
am_life_threat					0.384						0.437						0.563	
					(0.0846)						(0.0901)						(0.134)	
sdo					0.126						0.0947						0.160	
					(0.0461)						(0.0430)						(0.0684)	
outgroup_prej					0.112						0.153						0.207	
					(0.0645)						(0.0616)						(0.0923)	
support_isol					0.517						-0.0689						0.432	
					(0.0894)						(0.0839)						(0.135)	
china_opp					0.236						0.0972						0.392	
					(0.121)						(0.112)						(0.173)	
support_immig					-0.950						-0.903						-1.126	
					(0.0813)						(0.0773)						(0.116)	
support_trade					-0.512						-0.221						-0.427	
					(0.0695)						(0.0648)						(0.0994)	
look_work			0.0556						0.115						-0.0380			
			(0.287)						(0.236)						(0.336)			
concern_fut_exp			0.406						0.322						0.375			
			(0.0976)						(0.0766)						(0.109)			
finances_better			-0.769						-0.350						-0.555			
			(0.0752)						(0.0577)						(0.0839)			
tax_for_safety_net			-1.052						-0.507						-0.873			
			(0.0827)						(0.0638)						(0.0963)			
Constant	18.80		21.86		17.35		0.816		1.929		1.729		3.159		5.834		3.454	
	(0.477)		(0.649)		(0.758)		(0.316)		(0.487)		(0.725)		(0.441)		(0.739)		(1.106)	
																		
Observations	2,912	2,912	2,895	2,895	2,616	2,616	3,203	3,203	3,176	3,176	2,868	2,868	2,429	2,429	2,412	2,412	2,193	2,193
R-squared	0.514		0.565		0.655													
r2_p	.	.	.	.	.	.	0.392	.	0.429	.	0.544	.	0.578	.	0.632	.	0.757	.
chi2	.	.	.	.	.	.	1535	.	1670	.	1932	.	1861	.	2024	.	2215	.
df_m	7	.	11	.	15	.	7	.	11	.	15	.	7	.	11	.	15	.
Standard errors in parentheses																		
